,compound,positive,negative,neutral
0,0.0,0.0,0.0,0.0
1,0.7645,0.233,0.0,0.767
2,-0.5106,0.107,0.169,0.724
3,0.9403,0.374,0.0,0.626
4,0.7906,0.389,0.0,0.611
5,-0.3593,0.1,0.207,0.693
6,0.836,0.248,0.0,0.752
7,0.1531,0.133,0.105,0.762
8,-0.4767,0.0,0.307,0.693
9,0.8658,0.338,0.0,0.662
10,0.7788,0.325,0.09,0.585
11,0.7825,0.287,0.049,0.664
12,0.9062,0.42,0.0,0.58
13,-0.7717,0.097,0.339,0.564
14,0.0,0.0,0.0,1.0
15,0.3182,0.173,0.0,0.827
16,0.6249,0.177,0.0,0.823
17,0.7717,0.325,0.0,0.675
18,0.4404,0.153,0.0,0.847
19,0.0,0.0,0.0,1.0
20,0.7783,0.343,0.0,0.657
21,0.9042,0.265,0.0,0.735
22,0.5994,0.234,0.0,0.766
23,-0.3716,0.0,0.076,0.924
24,0.9607,0.551,0.0,0.449
25,0.8251,0.464,0.0,0.536
26,0.6369,0.157,0.0,0.843
27,0.6808,0.345,0.121,0.534
28,0.802,0.356,0.0,0.644
29,0.6249,0.272,0.0,0.728
30,0.8377,0.498,0.0,0.502
31,0.3182,0.15,0.0,0.85
32,0.0,0.0,0.0,1.0
33,0.1779,0.072,0.0,0.928
34,-0.4767,0.112,0.159,0.73
35,0.0,0.0,0.0,1.0
36,-0.2732,0.0,0.1,0.9
37,0.0,0.0,0.0,1.0
38,-0.1531,0.077,0.105,0.818
39,0.1531,0.118,0.078,0.804
40,-0.25,0.089,0.158,0.753
41,0.4926,0.225,0.0,0.775
42,0.4404,0.293,0.0,0.707
43,0.504,0.179,0.0,0.821
44,-0.296,0.0,0.155,0.845
45,0.4374,0.132,0.0,0.868
46,-0.75,0.0,0.273,0.727
47,0.0,0.0,0.0,1.0
48,0.4917,0.345,0.176,0.479
49,0.0,0.0,0.0,1.0
50,0.3182,0.095,0.0,0.905
51,0.3182,0.092,0.051,0.857
52,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,1.0
54,0.4767,0.362,0.0,0.638
55,-0.6801,0.0,0.162,0.838
56,0.743,0.16,0.0,0.84
57,0.3612,0.116,0.0,0.884
58,0.8807,0.531,0.0,0.469
59,0.6374,0.174,0.059,0.767
60,0.4767,0.237,0.0,0.763
61,0.3182,0.091,0.0,0.909
62,0.8555,0.402,0.0,0.598
63,0.8442,0.378,0.0,0.622
64,0.3878,0.308,0.149,0.544
65,0.0,0.0,0.0,1.0
66,0.8658,0.427,0.0,0.573
67,0.0,0.0,0.0,1.0
68,0.0,0.0,0.0,1.0
69,-0.5849,0.0,0.159,0.841
70,0.7778,0.312,0.0,0.688
71,-0.1779,0.063,0.093,0.844
72,0.0,0.0,0.0,1.0
73,0.0,0.0,0.0,1.0
74,0.1045,0.188,0.164,0.647
75,-0.296,0.101,0.154,0.746
76,0.25,0.179,0.115,0.705
77,0.7184,0.4,0.0,0.6
78,0.0,0.0,0.0,1.0
79,-0.5255,0.0,0.134,0.866
80,0.5456,0.238,0.077,0.686
81,0.765,0.311,0.079,0.61
82,0.3182,0.204,0.0,0.796
83,0.8615,0.303,0.0,0.697
84,0.5719,0.291,0.0,0.709
85,-0.5704,0.0,0.129,0.871
86,0.8231,0.332,0.085,0.583
87,0.0,0.0,0.0,1.0
88,0.6369,0.174,0.0,0.826
89,0.4927,0.225,0.0,0.775
90,-0.6908,0.0,0.251,0.749
91,0.0602,0.195,0.18,0.625
92,0.4767,0.181,0.0,0.819
93,0.7003,0.367,0.0,0.633
94,-0.34,0.059,0.123,0.818
95,0.0,0.0,0.0,1.0
96,-0.3009,0.086,0.169,0.746
97,0.4767,0.193,0.0,0.807
98,0.8591,0.323,0.0,0.677
99,0.4939,0.212,0.095,0.693
100,0.7003,0.274,0.0,0.726
101,0.6361,0.228,0.0,0.772
102,-0.0531,0.077,0.106,0.817
103,0.7184,0.3,0.0,0.7
104,0.483,0.176,0.14,0.684
105,0.7717,0.283,0.0,0.717
106,0.7845,0.434,0.0,0.566
107,-0.1779,0.106,0.163,0.731
108,0.2211,0.086,0.05,0.863
109,0.0772,0.049,0.0,0.951
110,-0.6833,0.0,0.204,0.796
111,0.0,0.08,0.08,0.839
112,0.167,0.062,0.0,0.938
113,0.3875,0.18,0.0,0.82
114,0.0,0.0,0.0,1.0
115,0.7501,0.363,0.0,0.637
116,0.8807,0.459,0.0,0.541
117,0.0,0.0,0.0,1.0
118,0.3818,0.157,0.0,0.843
119,0.0,0.0,0.0,1.0
120,0.3818,0.224,0.0,0.776
121,0.6597,0.403,0.0,0.597
122,0.1531,0.178,0.0,0.822
